adolescent	青少年的;未成熟的	⠁⠙⠕⠇⠑⠎⠉⠢⠞
blizzard	大風雪	⠃⠇⠊⠵⠵⠜⠙
bodyguard	保鏢;護衛隊	⠃⠕⠙⠽⠛⠥⠜⠙
booth	(有篷的)貨攤;崗亭;(餐廳等)雅座	⠃⠕⠕⠹
boredom	無聊;厭倦	⠃⠕⠗⠫⠕⠍
boulevard	林蔭大道;大馬路	⠃⠳⠇⠑⠧⠜⠙
boundary	邊界;分界線;界限	⠃⠨⠙⠜⠽
bowel	腸;內部;深處	⠃⠪⠑⠇
boxer	拳擊手;拳師;拳師狗	⠃⠕⠭⠻
boxing	拳擊;拳術;裝箱	⠃⠕⠭⠬
breadth	寬度;幅度;寬宏	⠃⠗⠂⠙⠹
brooch	女用胸針(或領針)	⠃⠗⠕⠕⠡
broth	(用肉、蔬菜等煮成的)湯	⠃⠗⠕⠹
brotherhood	兄弟關係;同志關係	⠃⠗⠕⠮⠗⠓⠕⠕⠙
bureau	事務處	⠃⠥⠗⠂⠥
carbon	碳;複寫紙	⠉⠜⠃⠕⠝
cardboard	硬紙板;卡紙板	⠉⠜⠙⠃⠕⠜⠙
caretaker	照顧者;管理人	⠉⠜⠑⠞⠁⠅⠻
carnation	康乃馨;淡紅色	⠉⠜⠝⠁⠰⠝
carnival	狂歡節;嘉年華會	⠉⠜⠝⠊⠧⠁⠇
carp	鯉魚	⠉⠜⠏
carton	紙盒;紙板箱	⠉⠜⠞⠕⠝
cathedral	大教堂	⠉⠁⠮⠙⠗⠁⠇
celebrity	名人;名流	⠉⠑⠇⠑⠃⠗⠰⠽
celery	芹菜	⠉⠑⠇⠻⠽
cellphone	手機	⠉⠑⠇⠇⠏⠓⠐⠕
cellular	phone	⠉⠑⠇⠇⠥⠇⠜
ceremony	儀式；典禮	⠉⠻⠑⠍⠕⠝⠽
chair	椅子	⠡⠁⠊⠗
chairman	主席	⠡⠁⠊⠗⠍⠁⠝
chairperson	主席(沒有性別歧視的字眼)	⠡⠁⠊⠗⠏⠻⠎⠕⠝
chairwoman	女主席;女議長	⠡⠁⠊⠗⠺⠕⠍⠁⠝
checkbook	支票簿	⠡⠑⠉⠅⠃⠕⠕⠅
check-in	辦理投宿(或登機)手續;報到	⠡⠑⠉⠅⠤⠔
check-out	檢查;調查;付款退租;下班離開	⠡⠑⠉⠅⠤⠳
checkup	檢查;體檢	⠡⠑⠉⠅⠥⠏
chef	(餐館等的)主廚;大師傅	⠡⠑⠋
chemist	化學家	⠡⠑⠍⠊⠌
chili	紅番椒	⠡⠊⠇⠊
chimpanzee	黑猩猩	⠡⠊⠍⠏⠁⠝⠵⠑⠑
choir	(教堂的)唱詩班;合唱團	⠡⠕⠊⠗
chord	(樂器的)弦;心弦;弦桿;和音	⠡⠕⠗⠙
clover	苜蓿	⠉⠇⠕⠧⠻
coastline	海岸線	⠉⠕⠁⠌⠇⠔⠑
colleague	同事；同僚	⠉⠕⠇⠇⠂⠛⠥⠑
comedian	喜劇演員	⠉⠕⠍⠫⠊⠁⠝
commentator	(電臺、電視臺等)時事評論者	⠉⠕⠍⠰⠞⠁⠞⠕⠗
commodity	商品;日用品	⠉⠕⠍⠍⠕⠙⠰⠽
commuter	通勤者	⠉⠕⠍⠍⠥⠞⠻
compassion	憐憫;同情	⠉⠕⠍⠏⠁⠎⠨⠝
comprehension	理解;理解力	⠉⠕⠍⠏⠗⠑⠓⠢⠨⠝
confession	承認;供認;告解	⠒⠋⠑⠎⠨⠝
contempt	輕視;(對法庭等的)藐視	⠒⠞⠑⠍⠏⠞
continuity	連續性;一貫性	⠒⠞⠔⠥⠰⠽
corporation	股份(有限)公司	⠉⠕⠗⠏⠕⠗⠁⠰⠝
correspondence	一致;相對應;通信;(總稱)信件	⠉⠕⠗⠗⠑⠎⠏⠕⠝⠙⠰⠑
counselor	顧問;(學生的)輔導員;律師	⠉⠳⠝⠎⠑⠇⠕⠗
coupon	回數票;減價優待券	⠉⠳⠏⠕⠝
courtyard	庭院;天井	⠉⠳⠗⠞⠽⠜⠙
cracker	(淡或鹹的)薄脆餅乾;鞭炮	⠉⠗⠁⠉⠅⠻
crossing	交叉;交叉點；橫穿;雜交	⠉⠗⠕⠎⠎⠬
cuisine	烹飪(法);菜餚	⠉⠥⠊⠎⠔⠑
currency	通貨;貨幣	⠉⠥⠗⠗⠢⠉⠽
customs	關稅;報關手續;海關出入境口	⠉⠥⠌⠕⠍⠎
declaration	宣佈；宣告;宣言；聲明	⠙⠑⠉⠇⠜⠁⠰⠝
delegation	授權;代表團	⠙⠑⠇⠑⠛⠁⠰⠝
denial	否認;拒絕	⠙⠢⠊⠁⠇
destination	目的地；終點	⠙⠑⠌⠔⠁⠰⠝
destiny	命運;天數	⠙⠑⠌⠔⠽
detergent	洗潔劑；洗衣粉	⠙⠑⠞⠻⠛⠢⠞
devotion	奉獻	⠙⠑⠧⠕⠰⠝
dialect	方言	⠙⠊⠁⠇⠑⠉⠞
disbelief	不信;懷疑	⠲⠃⠑⠇⠊⠑⠋
disciple	信徒;門徒	⠲⠉⠊⠏⠇⠑
distinction	區別;殊勳;榮譽	⠲⠞⠔⠉⠰⠝
doorstep	門階	⠙⠕⠕⠗⠌⠑⠏
dough	生麵糰;現款	⠙⠳⠣
dresser	衣櫃	⠙⠗⠑⠎⠎⠻
dressing	打扮;佈置；裝飾;(拌沙拉等用的)調料	⠙⠗⠑⠎⠎⠬
duration	持續；持久	⠙⠥⠗⠁⠰⠝
dwelling	住處;寓所	⠙⠺⠑⠇⠇⠬
enrollment	登記;入會;入伍;登記人數	⠢⠗⠕⠇⠇⠰⠞
enterprise	企業；公司	⠢⠞⠻⠏⠗⠊⠎⠑
estate	地產	⠑⠌⠁⠞⠑
ethic	倫理標準	⠑⠹⠊⠉
exaggeration	誇張	⠑⠭⠁⠶⠻⠁⠰⠝
extension	伸長;擴大;延期	⠑⠭⠞⠢⠨⠝
eyelash	(一根)睫毛;(一根)眼毛	⠑⠽⠑⠇⠁⠩
Fahrenheit	華氏溫標	⠠⠋⠁⠓⠗⠢⠓⠑⠊⠞
fertilizer	肥料	⠋⠻⠞⠊⠇⠊⠵⠻
fiancé	未婚夫	⠋⠊⠁⠝⠉⠘⠌⠑
fiancée	未婚妻	⠋⠊⠁⠝⠉⠘⠌⠑⠑
fiber	纖維	⠋⠊⠃⠻
fin	鰭;鰭狀物	⠋⠔
fishery	漁業	⠋⠊⠩⠻⠽
fluency	流暢;流暢的說話(或寫作)	⠋⠇⠥⠢⠉⠽
fowl	禽;禽肉	⠋⠪⠇
fraction	小部分;片段;碎片	⠋⠗⠁⠉⠰⠝
framework	架構;組織	⠋⠗⠁⠍⠑⠐⠺
frontier	邊境;邊疆;新領域	⠋⠗⠕⠝⠞⠊⠻
garment	服裝;衣著	⠛⠜⠰⠞
gathering	集會；聚集	⠛⠁⠮⠗⠬
gender	性別	⠛⠢⠙⠻
glacier	冰河	⠛⠇⠁⠉⠊⠻
gravity	地心吸力	⠛⠗⠁⠧⠰⠽
greed	貪心	⠛⠗⠑⠫
guideline	指南;指導方針	⠛⠥⠊⠙⠑⠇⠔⠑
hairstyle	髮型	⠓⠁⠊⠗⠌⠽⠇⠑
handicraft	手工藝;手工藝品	⠓⠯⠊⠉⠗⠁⠋⠞
herb	草本植物;藥草	⠓⠻⠃
hermit	隱士	⠓⠻⠍⠊⠞
hi-fi	高傳真的音響裝置	⠓⠊⠤⠋⠊
hoof	蹄	⠓⠕⠷
hostage	人質;抵押品	⠓⠕⠌⠁⠛⠑
housing	房屋；住宅	⠓⠳⠎⠬
indifference	漠不關心;無關緊要	⠔⠙⠊⠖⠻⠰⠑
interference	干涉；干預;擾亂	⠔⠞⠻⠋⠻⠰⠑
interpretation	解釋;闡明	⠔⠞⠻⠏⠗⠑⠞⠁⠰⠝
interpreter	通譯員	⠔⠞⠻⠏⠗⠑⠞⠻
intuition	直覺	⠔⠞⠥⠊⠰⠝
issue	問題;爭論;發行(物)	⠊⠎⠎⠥⠑
jasmine	茉莉;淡黃色	⠚⠁⠎⠍⠔⠑
journalism	新聞業;新聞學	⠚⠳⠗⠝⠁⠇⠊⠎⠍
journalist	新聞工作者	⠚⠳⠗⠝⠁⠇⠊⠌
landlady	女房東	⠇⠯⠇⠁⠙⠽
landlord	房東	⠇⠯⠐⠇
laser	雷射	⠇⠁⠎⠻
lash	鞭打;(風浪等的)猛烈打擊;斥責	⠇⠁⠩
latitude	緯度;	⠇⠁⠞⠊⠞⠥⠙⠑
lawmaker	立法者	⠇⠁⠺⠍⠁⠅⠻
legislation	立法;法規	⠇⠑⠛⠊⠎⠇⠁⠰⠝
lieutenant	中尉(或少尉);助理官	⠇⠊⠑⠥⠞⠢⠁⠝⠞
livestock	(總稱)家畜	⠇⠊⠧⠑⠌⠕⠉⠅
lizard	蜥蜴	⠇⠊⠵⠜⠙
locust	蝗蟲	⠇⠕⠉⠥⠌
longitude	經度	⠇⠰⠛⠊⠞⠥⠙⠑
lottery	獎券;彩票;抽籤;運氣	⠇⠕⠞⠞⠻⠽
mainland	大陸	⠍⠁⠔⠇⠯
mainstream	(河的)主流;主要傾向	⠍⠁⠔⠌⠗⠂⠍
maintenance	維持;維修;保養	⠍⠁⠔⠞⠢⠨⠑
majesty	雄偉;壯麗;(帝王的)威嚴	⠍⠁⠚⠑⠌⠽
mansion	大廈；大樓	⠍⠁⠝⠨⠝
marshal	元帥;高級將官;典禮官	⠍⠜⠩⠁⠇
masterpiece	傑作；名作	⠍⠁⠌⠻⠏⠊⠑⠉⠑
mechanics	力學;機械學;技術;技巧	⠍⠑⠡⠁⠝⠊⠉⠎
mermaid	美人魚	⠍⠻⠍⠁⠊⠙
mileage	總英里數;(每單位燃料的)行駛哩數	⠍⠊⠇⠂⠛⠑
milestone	里程碑;劃時代的事件	⠍⠊⠇⠑⠌⠐⠕
mint	薄荷;薄荷糖;造幣廠	⠍⠔⠞
miser	吝嗇鬼;守財奴	⠍⠊⠎⠻
mistress	女主人；主婦	⠍⠊⠌⠗⠑⠎⠎
monarch	君主	⠍⠕⠝⠜⠡
motherhood	母性;(總稱)母親們	⠐⠍⠓⠕⠕⠙
mower	割草機;收割機	⠍⠪⠻
mustard	芥末;芥菜;芥末色	⠍⠌⠜⠙
myth	神話;虛構的人(或事物)	⠍⠽⠹
newscast	新聞廣播	⠝⠑⠺⠎⠉⠁⠌
nightingale	夜鶯	⠝⠊⠣⠞⠬⠁⠇⠑
nostril	鼻孔	⠝⠕⠌⠗⠊⠇
notion	概念;想法;打算	⠝⠕⠰⠝
oar	槳;櫓;划手	⠕⠜
oath	誓言;宣誓	⠕⠁⠹
oatmeal	燕麥片;燕麥粥	⠕⠁⠞⠍⠂⠇
observer	觀察員;奉行者	⠕⠃⠎⠻⠧⠻
occurrence	發生;出現;事件	⠕⠒⠥⠗⠗⠰⠑
opponent	對手;敵手；反對者	⠕⠏⠏⠕⠝⠢⠞
orchard	果樹園;果樹林	⠕⠗⠡⠜⠙
organizer	組織者;萬用記事本	⠕⠗⠛⠁⠝⠊⠵⠻
ostrich	駝鳥;有駝鳥心理的人	⠕⠌⠗⠊⠡
ounce	盎司；英兩	⠳⠝⠉⠑
outsider	外人;門外漢;局外人	⠳⠞⠎⠊⠙⠻
outskirts	(複數)郊外;郊區	⠳⠞⠎⠅⠊⠗⠞⠎
oyster	牡蠣;沈默寡言的人	⠕⠽⠌⠻
ozone	臭氧	⠕⠵⠐⠕
paradox	自相矛盾的議論	⠏⠜⠁⠙⠕⠭
parlor	客廳;接待室	⠏⠜⠇⠕⠗
participant	關係者;參與者	⠐⠏⠊⠉⠊⠏⠁⠝⠞
particle	微粒;顆粒	⠐⠏⠊⠉⠇⠑
pastime	消遣;娛樂	⠏⠁⠎⠐⠞
pastry	酥皮點心	⠏⠁⠌⠗⠽
peacock	孔雀;愛炫耀的人	⠏⠂⠉⠕⠉⠅
peasant	農夫	⠏⠂⠎⠁⠝⠞
peddler	小販	⠏⠫⠙⠇⠻
performer	演出者;演奏者;表演者	⠏⠻⠿⠍⠻
personnel	(總稱)人員;員工;人事部門	⠏⠻⠎⠕⠝⠝⠑⠇
pier	碼頭;防波堤	⠏⠊⠻
pillar	柱子;棟樑	⠏⠊⠇⠇⠜
plantation	大農園;造林地	⠏⠇⠁⠝⠞⠁⠰⠝
playwright	劇作家	⠏⠇⠁⠽⠺⠐⠗
porch	門廊;入口處;走廊	⠏⠕⠗⠡
poultry	家禽	⠏⠳⠇⠞⠗⠽
precaution	謹慎;預防措施	⠏⠗⠑⠉⠁⠥⠰⠝
preference	偏愛;優先(權)	⠏⠗⠑⠋⠻⠰⠑
priority	在先;重點;優先權	⠏⠗⠊⠕⠗⠰⠽
procession	一(長)列;一(長)排;隊伍	⠏⠗⠕⠉⠑⠎⠨⠝
province	省；州	⠏⠗⠕⠧⠔⠉⠑
quart	夸脫(=2	⠟⠥⠜⠞
quest	追求;探索	⠟⠥⠑⠌
radish	小蘿蔔	⠗⠁⠙⠊⠩
realm	王國;國土;領土	⠗⠂⠇⠍
reminder	提醒者；提醒物;催函	⠗⠑⠍⠔⠙⠻
resentment	憤慨;怨恨	⠗⠑⠎⠢⠞⠰⠞
residence	住所;住宅	⠗⠑⠎⠊⠙⠰⠑
rhino	犀牛	⠗⠓⠔⠕
rhinoceros	犀牛	⠗⠓⠔⠕⠉⠻⠕⠎
rubbish	垃圾;廢物	⠗⠥⠆⠊⠩
sandal	涼鞋;拖鞋	⠎⠯⠁⠇
scandal	醜聞;醜事	⠎⠉⠯⠁⠇
sensation	感覺;知覺;轟動	⠎⠢⠎⠁⠰⠝
sensitivity	敏感性;感受性	⠎⠢⠎⠊⠞⠊⠧⠰⠽
sentiment	感情;情緒;感傷	⠎⠢⠞⠊⠰⠞
sergeant	中士;警官	⠎⠻⠛⠂⠝⠞
series	連續;系列	⠎⠻⠊⠑⠎
sermon	佈道;說教	⠎⠻⠍⠕⠝
server	侍者;伺服器	⠎⠻⠧⠻
setting	安裝;設定;鑲嵌;背景	⠎⠑⠞⠞⠬
sheriff	警長	⠩⠻⠊⠋⠋
shortage	缺少；不足；匱乏	⠩⠕⠗⠞⠁⠛⠑
shortcoming	缺點；短處	⠩⠕⠗⠞⠉⠕⠍⠬
shrine	聖壇;神殿	⠩⠗⠔⠑
shrub	矮樹;灌木	⠩⠗⠥⠃
skull	頭骨;骷髏畫	⠎⠅⠥⠇⠇
sneaker	運動鞋	⠎⠝⠂⠅⠻
spaceship	太空船	⠎⠏⠁⠉⠑⠩⠊⠏
specialist	專家;專科醫生	⠎⠏⠑⠉⠊⠁⠇⠊⠌
specimen	樣品;標本	⠎⠏⠑⠉⠊⠍⠢
spine	脊柱;書脊;骨氣	⠎⠏⠔⠑
splendor	光輝;壯觀;輝煌	⠎⠏⠇⠢⠙⠕⠗
stanza	詩的一節	⠌⠁⠝⠵⠁
statesman	政治家	⠌⠁⠞⠑⠎⠍⠁⠝
statistic	統計量;統計數值	⠌⠁⠞⠊⠌⠊⠉
steward	男服務員;管家	⠌⠑⠺⠜⠙
stewardess	(客機、輪船)女服務員	⠌⠑⠺⠜⠙⠑⠎⠎
storage	貯藏;貯藏庫	⠌⠕⠗⠁⠛⠑
strait	海峽	⠌⠗⠁⠊⠞
stripe	條紋;斑紋;線條	⠌⠗⠊⠏⠑
superstition	迷信	⠎⠥⠏⠻⠌⠊⠰⠝
supervisor	管理人;指導者	⠎⠥⠏⠻⠧⠊⠎⠕⠗
tart	水果餡餅;水果蛋糕	⠞⠜⠞
tavern	小酒館;小客棧	⠞⠁⠧⠻⠝
teller	敘述者;(銀行)出納員	⠞⠑⠇⠇⠻
temptation	引誘;誘惑;誘惑物	⠞⠑⠍⠏⠞⠁⠰⠝
thigh	股;大腿	⠹⠊⠣
thorn	刺;棘;惱人的事或人	⠹⠕⠗⠝
thriller	恐怖小說(或電影等)	⠹⠗⠊⠇⠇⠻
throne	王座;神座;君權;帝王	⠹⠗⠐⠕
token	標誌;象徵;代價券;籌碼	⠞⠕⠅⠢
torrent	洪流;(話語的)連發;(感情的)狂潮	⠞⠕⠗⠗⠢⠞
tournament	比賽;錦標賽	⠞⠳⠗⠝⠁⠰⠞
trademark	商標	⠞⠗⠁⠙⠑⠍⠜⠅
treasury	金庫;庫房;國庫;寶庫	⠞⠗⠂⠎⠥⠗⠽
treaty	條約；協定	⠞⠗⠂⠞⠽
trout	鱒魚;鮭鱒魚	⠞⠗⠳⠞
tuition	學費	⠞⠥⠊⠰⠝
undergraduate	大學生;大學肄業生	⠐⠥⠛⠗⠁⠙⠥⠁⠞⠑
vegetation	植被;草木	⠧⠑⠛⠑⠞⠁⠰⠝
vein	靜脈;(葉、翅、礦)脈;紋理	⠧⠑⠔
veto	否決;否決權	⠧⠑⠞⠕
viewer	觀看者;觀眾	⠧⠊⠑⠺⠻
villain	壞人;反派角色	⠧⠊⠇⠇⠁⠔
vine	藤;藤蔓;葡萄樹	⠧⠔⠑
violinist	小提琴手	⠧⠊⠕⠇⠔⠊⠌
ware	(特定種類的)陶器;貨物	⠺⠜⠑
warrior	武士;戰士;勇士	⠺⠜⠗⠊⠕⠗
wheelchair	輪椅	⠱⠑⠑⠇⠡⠁⠊⠗
whiskey	威士忌酒	⠱⠊⠎⠅⠑⠽
whisky	威士忌酒	⠱⠊⠎⠅⠽
widower	鰥夫	⠺⠊⠙⠪⠻
wilderness	荒野；荒漠	⠺⠊⠇⠙⠻⠰⠎
woodpecker	啄木鳥	⠺⠕⠕⠙⠏⠑⠉⠅⠻
workshop	作坊;研討會	⠐⠺⠩⠕⠏
wreath	花圈;花冠	⠺⠗⠂⠹
yeast	酵母;酵母片	⠽⠂⠌
zinc	鋅	⠵⠔⠉
