abnormal	不正常的	⠁⠃⠝⠕⠗⠍⠁⠇
dissident	意見不同的	⠲⠎⠊⠙⠢⠞
diverse	互異的;多變化的	⠙⠊⠧⠻⠎⠑
documentary	文件的;(電影、電視等)記錄的	⠙⠕⠉⠥⠰⠞⠜⠽
drastic	激烈的;極端的	⠙⠗⠁⠌⠊⠉
dreary	慘淡的;沈悶的	⠙⠗⠑⠜⠽
dual	雙的;雙倍的;雙重的	⠙⠥⠁⠇
dubious	半信半疑的;含糊的	⠙⠥⠃⠊⠳⠎
eccentric	(人、行為等)古怪的	⠑⠒⠢⠞⠗⠊⠉
edible	可食的；食用的	⠫⠊⠃⠇⠑
editorial	社論的	⠫⠊⠞⠕⠗⠊⠁⠇
eligible	有資格當選的;合格的	⠑⠇⠊⠛⠊⠃⠇⠑
elite	精英的	⠑⠇⠊⠞⠑
eloquent	雄辯的;口才流利的	⠑⠇⠕⠟⠥⠢⠞
emphatic	強調的;著重的	⠑⠍⠏⠓⠁⠞⠊⠉
epidemic	流行性的;傳染的;極為流行的	⠑⠏⠊⠙⠑⠍⠊⠉
equivalent	相等的；相同的	⠑⠟⠥⠊⠧⠁⠇⠢⠞
ethical	倫理的;道德的	⠑⠹⠊⠉⠁⠇
ethnic	種族的;人種學的	⠑⠹⠝⠊⠉
excessive	過度的;極度的	⠑⠭⠉⠑⠎⠎⠊⠧⠑
exclusive	排外的;唯一的;獨家的	⠑⠭⠉⠇⠥⠎⠊⠧⠑
exotic	異國情調的;外來的	⠑⠭⠕⠞⠊⠉
explicit	詳盡的;清楚的	⠑⠭⠏⠇⠊⠉⠊⠞
exquisite	精緻的;精良的;精選的	⠑⠭⠟⠥⠊⠎⠊⠞⠑
extracurricular	課外的	⠑⠭⠞⠗⠁⠉⠥⠗⠗⠊⠉⠥⠇⠜
fabulous	極好的;驚人的	⠋⠁⠃⠥⠇⠳⠎
feasible	可行的;可能的	⠋⠂⠎⠊⠃⠇⠑
finite	有限的	⠋⠔⠊⠞⠑
fireproof	防火的;耐火的	⠋⠊⠗⠑⠏⠗⠕⠷
fluid	流動的;液體的;流暢的	⠋⠇⠥⠊⠙
formidable	令人畏懼的;難對付的	⠿⠍⠊⠙⠁⠃⠇⠑
forthcoming	即將到來的	⠿⠹⠉⠕⠍⠬
foster	收養的	⠋⠕⠌⠻
fragile	易碎的;虛弱的	⠋⠗⠁⠛⠊⠇⠑
frail	身體虛弱的;易損壞的	⠋⠗⠁⠊⠇
genetic	基因的;遺傳(學)的	⠛⠢⠑⠞⠊⠉
gloomy	陰暗的;憂鬱的	⠛⠇⠕⠕⠍⠽
graphic	生動的;寫實的;圖解的	⠛⠗⠁⠏⠓⠊⠉
honorary	(學位等)名譽上的;名譽職位的	⠓⠕⠝⠕⠗⠜⠽
hospitable	好客的;(氣候等)宜人的	⠓⠕⠎⠏⠊⠞⠁⠃⠇⠑
humanitarian	人道主義的;博愛的	⠓⠥⠍⠁⠝⠊⠞⠜⠊⠁⠝
hysterical	歇斯底里的;極可笑的	⠓⠽⠌⠻⠊⠉⠁⠇
immune	免疫的;免於...的	⠊⠍⠍⠥⠝⠑
imperative	必要的;命令式的;祈使法的	⠊⠍⠏⠻⠁⠞⠊⠧⠑
implicit	不言明的;含蓄的	⠊⠍⠏⠇⠊⠉⠊⠞
imposing	壯觀的;氣勢宏偉的;莊嚴的	⠊⠍⠏⠕⠎⠬
incentive	刺激的;鼓勵的；獎勵的	⠔⠉⠢⠞⠊⠧⠑
incidental	易發生的;附帶的	⠔⠉⠊⠙⠢⠞⠁⠇
inclusive	包含的;包括在內的	⠔⠉⠇⠥⠎⠊⠧⠑
inevitable	不可避免的	⠔⠑⠧⠊⠞⠁⠃⠇⠑
infectious	傳染的;有感染力的	⠔⠋⠑⠉⠞⠊⠳⠎
ingenious	心靈手巧的;足智多謀的	⠔⠛⠢⠊⠳⠎
inherent	固有的;與生俱來的	⠔⠓⠻⠢⠞
initiative	開始的;初步的;創始的	⠔⠊⠞⠊⠁⠞⠊⠧⠑
innovative	創新的	⠔⠝⠕⠧⠁⠞⠊⠧⠑
intact	完整無缺的;原封不動的	⠔⠞⠁⠉⠞
invaluable	非常貴重的;無價的	⠔⠧⠁⠇⠥⠁⠃⠇⠑
ironic	具有諷刺意味的;挖苦的	⠊⠗⠕⠝⠊⠉
irritable	易怒的;急躁的	⠊⠗⠗⠊⠞⠁⠃⠇⠑
joyous	快樂的;高興的	⠚⠕⠽⠳⠎
legendary	傳說的;傳奇的	⠇⠑⠛⠢⠙⠜⠽
legislative	立法的;有立法權的	⠇⠑⠛⠊⠎⠇⠁⠞⠊⠧⠑
legitimate	合法的;合法婚姻所生的;合理的	⠇⠑⠛⠊⠞⠊⠍⠁⠞⠑
lengthy	長的;冗長的;囉唆的	⠇⠢⠛⠹⠽
liable	易...的;可能的;負有法律責任的	⠇⠊⠁⠃⠇⠑
literal	照字面的;原義的;如實的	⠇⠊⠞⠻⠁⠇
literate	能讀寫的;有文化修養的	⠇⠊⠞⠻⠁⠞⠑
lunatic	瘋的;瘋狂的	⠇⠥⠝⠁⠞⠊⠉
lush	蒼翠繁茂的;豐富的	⠇⠥⠩
lyric	抒情的;適於歌唱的	⠇⠽⠗⠊⠉
medieval	中世紀的;中古風的;守舊的	⠍⠫⠊⠑⠧⠁⠇
melancholy	憂鬱的;令人沮喪的	⠍⠑⠇⠁⠝⠡⠕⠇⠽
mellow	(水果)成熟的;(人)圓熟的	⠍⠑⠇⠇⠪
metropolitan	大都市的	⠍⠑⠞⠗⠕⠏⠕⠇⠊⠞⠁⠝
militant	好戰的;激進的	⠍⠊⠇⠊⠞⠁⠝⠞
miniature	小型的;小規模的	⠍⠔⠊⠁⠞⠥⠗⠑
miraculous	神奇的;奇蹟般的	⠍⠊⠗⠁⠉⠥⠇⠳⠎
mischievous	惡作劇的;淘氣的	⠍⠊⠎⠡⠊⠑⠧⠳⠎
missionary	傳教的;教會的;傳教士的	⠍⠊⠎⠨⠝⠜⠽
monotonous	單調的;無變化的	⠍⠕⠝⠕⠞⠕⠝⠳⠎
mournful	憂傷的;悲切的	⠍⠳⠗⠝⠰⠇
municipal	市的;市政的	⠍⠥⠝⠊⠉⠊⠏⠁⠇
mute	沈默的;啞的	⠍⠥⠞⠑
narrative	敘事的;故事形式的	⠝⠜⠗⠁⠞⠊⠧⠑
naval	海軍的	⠝⠁⠧⠁⠇
neutral	中立的;中立國的;空檔的	⠝⠑⠥⠞⠗⠁⠇
notorious	惡名昭彰的	⠝⠕⠞⠕⠗⠊⠳⠎
nutrient	營養的；滋養的	⠝⠥⠞⠗⠊⠢⠞
