adult	成年人	⠁⠙⠥⠇⠞
monster	怪物	⠍⠕⠝⠌⠻
mouse	老鼠	⠍⠳⠎⠑
ox	公牛	⠕⠭
panda	熊貓	⠏⠯⠁
parrot	鸚鵡	⠏⠜⠗⠕⠞
pet	寵物	⠏⠑⠞
pig	豬	⠏⠊⠛
pigeon	鴿子	⠏⠊⠛⠑⠕⠝
puppy	小狗	⠏⠥⠏⠏⠽
rabbit	兔子	⠗⠁⠆⠊⠞
rat	大鼠	⠗⠁⠞
sheep	綿羊	⠩⠑⠑⠏
swan	天鵝	⠎⠺⠁⠝
tiger	老虎	⠞⠊⠛⠻
turkey	火雞	⠞⠥⠗⠅⠑⠽
wolf	狼	⠺⠕⠇⠋
zebra	斑馬	⠵⠑⠃⠗⠁
insect	昆蟲	⠔⠎⠑⠉⠞
ant	螞蟻	⠁⠝⠞
bat	蝙蝠	⠃⠁⠞
bee	蜜蜂	⠃⠑⠑
bird	鳥	⠃⠊⠗⠙
bug	蟲子	⠃⠥⠛
butterfly	蝴蝶	⠃⠥⠞⠞⠻⠋⠇⠽
cockroach	蟑螂	⠉⠕⠉⠅⠗⠕⠁⠡
dragon	龍	⠙⠗⠁⠛⠕⠝
mosquito	蚊子	⠍⠕⠎⠟⠥⠊⠞⠕
snail	蝸牛	⠎⠝⠁⠊⠇
snake	蛇	⠎⠝⠁⠅⠑
spider	蜘蛛	⠎⠏⠊⠙⠻
worm	蠕蟲	⠺⠕⠗⠍
crab	螃蟹	⠉⠗⠁⠃
dolphin	海豚	⠙⠕⠇⠏⠓⠔
fish	魚	⠋⠊⠩
shark	鯊魚	⠩⠜⠅
shrimp	蝦	⠩⠗⠊⠍⠏
turtle	烏龜	⠞⠥⠗⠞⠇⠑
whale	鯨魚	⠱⠁⠇⠑
bark	吠叫	⠃⠜⠅
bite	咬	⠃⠊⠞⠑
swallow	吞嚥	⠎⠺⠁⠇⠇⠪
tail	尾巴	⠞⠁⠊⠇
wing	翅膀	⠺⠬
a/an	一個（不定冠詞）	⠁⠸⠌⠁⠝
the	這個/那個（定冠詞）	⠮
every	每個	⠑
this	這個	⠹
that	那個	⠞
these	這些	⠘⠮
those	那些	⠘⠹
my	我的	⠍⠽
our	我們的	⠳⠗
your	你的/你們的	⠽⠗
his	他的	⠦
her	她的	⠓⠻
its	它的	⠭⠎
their	他們的	⠸⠮
I	我	⠠⠊
me	我（受詞）	⠍⠑
my	我的	⠍⠽
mine	我的（所有格）	⠍⠔⠑
myself	我自己	⠍⠽⠋
you	你/你們	⠽
he	他	⠓⠑
him	他（受詞）	⠓⠍
she	她	⠩⠑
her	她（受詞）；她的	⠓⠻
hers	她的（所有格）	⠓⠻⠎
it	它	⠭
we	我們	⠺⠑
us	我們（受詞）	⠥
they	他們/她們/它們	⠮⠽
them	他們/她們/它們（受詞）	⠮⠍
and	和	⠯
as	因為；當...的時候	⠵
because	因為	⠆⠉
but	但是	⠃
if	如果	⠊⠋
or	或者	⠕⠗
since	因為；自從	⠎⠔⠉⠑
than	比	⠹⠁⠝
though	雖然	⠹⠳⠣
hello	你好	⠓⠑⠇⠇⠕
hey	嘿	⠓⠑⠽
hi	嗨	⠓⠊
goodbye	再見	⠛⠙⠃⠽⠑
accident	事故	⠁⠒⠊⠙⠢⠞
action	行動	⠁⠉⠰⠝
activity	活動	⠁⠉⠞⠊⠧⠰⠽
advertisement	廣告	⠁⠙⠧⠻⠞⠊⠎⠑⠰⠞
advice	建議	⠁⠙⠧⠊⠉⠑
age	年齡	⠁⠛⠑
aim	目標	⠁⠊⠍
alarm	警報	⠁⠇⠜⠍
album	相簿；專輯	⠁⠇⠃⠥⠍
American	美國人	⠠⠁⠍⠻⠊⠉⠁⠝
anger	憤怒	⠁⠝⠛⠻
army	軍隊	⠜⠍⠽
Asian	亞洲人	⠠⠁⠎⠊⠁⠝
attention	注意力	⠁⠞⠞⠢⠰⠝
balloon	氣球	⠃⠁⠇⠇⠕⠕⠝
band	樂隊；帶子	⠃⠯
base	基地；基礎	⠃⠁⠎⠑
beauty	美麗	⠃⠂⠥⠞⠽
beginner	初學者	⠆⠛⠔⠝⠻
beginning	開始	⠆⠛⠔⠝⠬
bell	鈴	⠃⠑⠇⠇
birthday	生日	⠃⠊⠗⠹⠐⠙
blank	空白	⠃⠇⠁⠝⠅
blood	血液	⠃⠇⠕⠕⠙
bomb	炸彈	⠃⠕⠍⠃
bottom	底部	⠃⠕⠞⠞⠕⠍
box	盒子	⠃⠕⠭
branch	分支；樹枝	⠃⠗⠁⠝⠡
bundle	捆；包	⠃⠥⠝⠙⠇⠑
cable	電纜；纜繩	⠉⠁⠃⠇⠑
cage	籠子	⠉⠁⠛⠑
can	罐頭	⠉
captain	隊長；船長	⠉⠁⠏⠞⠁⠔
case	案例；箱子	⠉⠁⠎⠑
castle	城堡	⠉⠁⠌⠇⠑
cause	原因	⠉⠁⠥⠎⠑
cellphone	手機	⠉⠑⠇⠇⠏⠓⠐⠕
center	中心	⠉⠢⠞⠻
century	世紀	⠉⠢⠞⠥⠗⠽
chance	機會	⠡⠨⠑
channel	頻道；渠道	⠡⠁⠝⠝⠑⠇
character	性格；角色	⠐⠡
chart	圖表	⠡⠜⠞
cheer	歡呼	⠡⠑⠻
childhood	童年	⠡⠊⠇⠙⠓⠕⠕⠙
choice	選擇	⠡⠕⠊⠉⠑
club	俱樂部	⠉⠇⠥⠃
coach	教練	⠉⠕⠁⠡
command	命令	⠉⠕⠍⠍⠯
congratulation	祝賀	⠒⠛⠗⠁⠞⠥⠇⠁⠰⠝
contract	合同	⠒⠞⠗⠁⠉⠞
corner	角落	⠉⠕⠗⠝⠻
courage	勇氣	⠉⠳⠗⠁⠛⠑
court	法庭；球場	⠉⠳⠗⠞
crime	犯罪	⠉⠗⠊⠍⠑
crowd	人群	⠉⠗⠪⠙
curve	曲線	⠉⠥⠗⠧⠑
damage	損害	⠙⠁⠍⠁⠛⠑
danger	危險	⠙⠁⠝⠛⠻
debate	辯論	⠙⠑⠃⠁⠞⠑
decision	決定	⠙⠑⠉⠊⠨⠝
department	部門	⠙⠑⠐⠏⠰⠞
desire	慾望	⠙⠑⠎⠊⠗⠑
difference	差異	⠙⠊⠖⠻⠰⠑
difficulty	困難	⠙⠊⠖⠊⠉⠥⠇⠞⠽
direction	方向	⠙⠊⠗⠑⠉⠰⠝
discussion	討論	⠲⠉⠥⠎⠨⠝
dream	夢想；夢	⠙⠗⠂⠍
duty	責任	⠙⠥⠞⠽
edge	邊緣	⠫⠛⠑
education	教育	⠫⠥⠉⠁⠰⠝
effort	努力	⠑⠋⠿⠞
e-mail	電子郵件	⠑⠤⠍⠁⠊⠇
emotion	情緒	⠑⠍⠕⠰⠝
enemy	敵人	⠢⠑⠍⠽
energy	能量	⠢⠻⠛⠽
engine	引擎	⠢⠛⠔⠑
entrance	入口	⠢⠞⠗⠨⠑
error	錯誤	⠻⠗⠕⠗
eve	前夕	⠑⠧⠑
event	事件	⠑⠧⠢⠞
excuse	藉口	⠑⠭⠉⠥⠎⠑
exit	出口	⠑⠭⠊⠞
experience	經驗	⠑⠭⠏⠻⠊⠰⠑
fact	事實	⠋⠁⠉⠞
fault	過錯；缺點	⠋⠁⠥⠇⠞
fear	恐懼	⠋⠑⠜
fee	費用	⠋⠑⠑
feeling	感覺	⠋⠑⠑⠇⠬
file	文件	⠋⠊⠇⠑
fire	火	⠋⠊⠗⠑
flag	旗幟	⠋⠇⠁⠛
flight	航班	⠋⠇⠊⠣⠞
flower	花	⠋⠇⠪⠻
foreigner	外國人	⠿⠑⠊⠛⠝⠻
freedom	自由	⠋⠗⠑⠫⠕⠍
friendship	友誼	⠋⠗⠩⠊⠏
fun	樂趣	⠋⠥⠝
garbage	垃圾	⠛⠜⠃⠁⠛⠑
gas	汽油；氣體	⠛⠁⠎
gesture	手勢；姿態	⠛⠑⠌⠥⠗⠑
ghost	鬼魂	⠣⠕⠌
gift	禮物	⠛⠊⠋⠞
goal	目標	⠛⠕⠁⠇
god	神	⠛⠕⠙
goodness	善良	⠛⠙⠰⠎
government	政府	⠛⠕⠧⠻⠝⠰⠞
grass	草	⠛⠗⠁⠎⠎
ground	地面	⠛⠗⠨⠙
group	群體；團體	⠛⠗⠳⠏
gun	槍	⠛⠥⠝
habit	習慣	⠓⠁⠃⠊⠞
haircut	理髮	⠓⠁⠊⠗⠉⠥⠞
heat	熱	⠓⠂⠞
honesty	誠實	⠓⠐⠕⠌⠽
honey	蜂蜜	⠓⠐⠕⠽
human	人類	⠓⠥⠍⠁⠝
humor	幽默	⠓⠥⠍⠕⠗
hunger	飢餓	⠓⠥⠝⠛⠻
idea	想法	⠊⠙⠑⠁
importance	重要性	⠊⠍⠏⠕⠗⠞⠨⠑
income	收入	⠔⠉⠕⠍⠑
influence	影響	⠔⠋⠇⠥⠰⠑
information	信息	⠔⠿⠍⠁⠰⠝
interest	興趣；利息	⠔⠞⠻⠑⠌
Internet	互聯網	⠠⠔⠞⠻⠝⠑⠞⠀⠐⠣⠠⠝⠑⠞⠐⠜
interview	面試；採訪	⠔⠞⠻⠧⠊⠑⠺
invitation	邀請	⠔⠧⠊⠞⠁⠰⠝
item	物品	⠊⠞⠑⠍
Japanese	日本人；日語	⠠⠚⠁⠏⠁⠝⠑⠎⠑
joke	笑話	⠚⠕⠅⠑
joy	喜悅	⠚⠕⠽
kind	種類	⠅⠔⠙
kingdom	王國	⠅⠬⠙⠕⠍
Korean	韓國人；韓語	⠠⠅⠕⠗⠑⠁⠝
lack	缺乏	⠇⠁⠉⠅
leader	領導者	⠇⠂⠙⠻
leaf	葉子	⠇⠂⠋
level	水平；層級	⠇⠑⠧⠑⠇
lid	蓋子	⠇⠊⠙
link	連結	⠇⠔⠅
locker	儲物櫃	⠇⠕⠉⠅⠻
mail	郵件	⠍⠁⠊⠇
manner	方式；禮貌	⠍⠁⠝⠝⠻
mass	質量；大量	⠍⠁⠎⠎
matter	事情；物質	⠍⠁⠞⠞⠻
meaning	意義	⠍⠂⠝⠬
meeting	會議	⠍⠑⠑⠞⠬
member	成員	⠍⠑⠍⠃⠻
memory	記憶；內存	⠍⠑⠍⠕⠗⠽
message	消息	⠍⠑⠎⠎⠁⠛⠑
metal	金屬	⠍⠑⠞⠁⠇
method	方法	⠍⠑⠹⠕⠙
metro	地鐵	⠍⠑⠞⠗⠕
mind	思維；意見	⠍⠔⠙
mistake	錯誤	⠍⠊⠌⠁⠅⠑
motion	運動；動議	⠍⠕⠰⠝
movement	運動；移動	⠍⠕⠧⠑⠰⠞
mud	泥巴	⠍⠥⠙
nest	巢	⠝⠑⠌
net	網；網絡	⠝⠑⠞
news	新聞	⠝⠑⠺⠎
newspaper	報紙	⠝⠑⠺⠎⠏⠁⠏⠻
noise	噪音	⠝⠕⠊⠎⠑
note	筆記；便條	⠝⠕⠞⠑
object	物體；目標	⠕⠃⠚⠑⠉⠞
operation	手術；操作	⠕⠏⠻⠁⠰⠝
opinion	意見	⠕⠏⠔⠊⠕⠝
order	命令；訂單	⠕⠗⠙⠻
party	派對；政黨	⠐⠏⠽
pattern	模式；圖案	⠏⠁⠞⠞⠻⠝
peace	和平	⠏⠂⠉⠑
period	時期；句號	⠏⠻⠊⠕⠙
photo	照片	⠏⠓⠕⠞⠕
pile	堆	⠏⠊⠇⠑
pin	別針；密碼	⠏⠔
pipe	管子	⠏⠊⠏⠑
planet	行星	⠏⠇⠁⠝⠑⠞
player	玩家；運動員	⠏⠇⠁⠽⠻
pleasure	愉悅	⠏⠇⠂⠎⠥⠗⠑
poison	毒藥	⠏⠕⠊⠎⠕⠝
pollution	污染	⠏⠕⠇⠇⠥⠰⠝
population	人口	⠏⠕⠏⠥⠇⠁⠰⠝
powder	粉末	⠏⠪⠙⠻
power	力量；電力	⠏⠪⠻
pressure	壓力	⠏⠗⠑⠎⠎⠥⠗⠑
principle	原則	⠏⠗⠔⠉⠊⠏⠇⠑
prize	獎品	⠏⠗⠊⠵⠑
production	生產；製作	⠏⠗⠕⠙⠥⠉⠰⠝
program	程序；節目	⠏⠗⠕⠛⠗⠁⠍
progress	進步	⠏⠗⠕⠛⠗⠑⠎⠎
project	項目	⠏⠗⠕⠚⠑⠉⠞
purpose	目的	⠏⠥⠗⠏⠕⠎⠑
reason	理由	⠗⠂⠎⠕⠝
report	報告	⠗⠑⠏⠕⠗⠞
result	結果	⠗⠑⠎⠥⠇⠞
robot	機器人	⠗⠕⠃⠕⠞
rock	岩石	⠗⠕⠉⠅
role	角色	⠗⠕⠇⠑
root	根	⠗⠕⠕⠞
rope	繩子	⠗⠕⠏⠑
rose	玫瑰	⠗⠕⠎⠑
rule	規則	⠗⠥⠇⠑
safety	安全	⠎⠁⠋⠑⠞⠽
sale	銷售	⠎⠁⠇⠑
sample	樣本	⠎⠁⠍⠏⠇⠑
sand	沙子	⠎⠯
scene	場景	⠎⠉⠢⠑
scenery	風景	⠎⠉⠢⠻⠽
screen	屏幕	⠎⠉⠗⠑⠢
secret	秘密	⠎⠑⠉⠗⠑⠞
seat	座位	⠎⠂⠞
section	部分	⠎⠑⠉⠰⠝
seed	種子	⠎⠑⠫
sense	感覺；意義	⠎⠢⠎⠑
sentence	句子	⠎⠢⠞⠰⠑
service	服務	⠎⠻⠧⠊⠉⠑
set	一套；集合	⠎⠑⠞
shore	海岸	⠩⠕⠗⠑
side	邊；方面	⠎⠊⠙⠑
sight	視力；景象	⠎⠊⠣⠞
silence	寂靜	⠎⠊⠇⠰⠑
skill	技能	⠎⠅⠊⠇⠇
smile	微笑	⠎⠍⠊⠇⠑
society	社會	⠎⠕⠉⠊⠑⠞⠽
soul	靈魂	⠎⠳⠇
space	空間	⠎⠏⠁⠉⠑
speech	演講	⠎⠏⠑⠑⠡
speed	速度	⠎⠏⠑⠫
spirit	精神	⠸⠎
state	狀態；州	⠌⠁⠞⠑
steam	蒸汽	⠌⠂⠍
step	步驟；台階	⠌⠑⠏
stone	石頭	⠌⠐⠕
story	故事	⠌⠕⠗⠽
string	繩子；字符串	⠌⠗⠬
style	風格	⠌⠽⠇⠑
subject	主題；學科	⠎⠥⠃⠚⠑⠉⠞
success	成功	⠎⠥⠒⠑⠎⠎
swing	鞦韆；擺動	⠎⠺⠬
symbol	符號	⠎⠽⠍⠃⠕⠇
system	系統	⠎⠽⠌⠑⠍
Taiwanese	台灣人	⠠⠞⠁⠊⠺⠁⠝⠑⠎⠑
talent	才能	⠞⠁⠇⠢⠞
tear	眼淚；撕裂	⠞⠑⠜
term	術語；學期	⠞⠻⠍
thief	小偷	⠹⠊⠑⠋
thing	東西	⠹⠬
thought	思想	⠹⠐⠳
ticket	票	⠞⠊⠉⠅⠑⠞
tool	工具	⠞⠕⠕⠇
topic	話題	⠞⠕⠏⠊⠉
tower	塔	⠞⠪⠻
trade	貿易	⠞⠗⠁⠙⠑
tradition	傳統	⠞⠗⠁⠙⠊⠰⠝
trash	垃圾	⠞⠗⠁⠩
treasure	寶藏	⠞⠗⠂⠎⠥⠗⠑
treat	款待；治療	⠞⠗⠂⠞
tree	樹	⠞⠗⠑⠑
trick	把戲；詭計	⠞⠗⠊⠉⠅
trouble	麻煩	⠞⠗⠳⠃⠇⠑
truth	真相	⠞⠗⠥⠹
tunnel	隧道	⠞⠥⠝⠝⠑⠇
universe	宇宙	⠥⠝⠊⠧⠻⠎⠑
value	價值	⠧⠁⠇⠥⠑
victory	勝利	⠧⠊⠉⠞⠕⠗⠽
voice	聲音	⠧⠕⠊⠉⠑
war	戰爭	⠺⠜
way	方式；道路	⠺⠁⠽
wedding	婚禮	⠺⠫⠙⠬
wood	木頭	⠺⠕⠕⠙
word	單詞	⠘⠺
act	行動；表演	⠁⠉⠞
affect	影響	⠁⠖⠑⠉⠞
agree	同意	⠁⠛⠗⠑⠑
allow	允許	⠁⠇⠇⠪
apologize	道歉	⠁⠏⠕⠇⠕⠛⠊⠵⠑
appear	出現	⠁⠏⠏⠑⠜
appreciate	感謝	⠁⠏⠏⠗⠑⠉⠊⠁⠞⠑
argue	爭論	⠜⠛⠥⠑
arrange	安排	⠜⠗⠁⠝⠛⠑
assume	假設	⠁⠎⠎⠥⠍⠑
attack	攻擊	⠁⠞⠞⠁⠉⠅
avoid	避免	⠁⠧⠕⠊⠙
become	成為	⠆⠉⠕⠍⠑
begin	開始	⠆⠛⠔
belong	屬於	⠆⠇⠰⠛
broadcast	廣播	⠃⠗⠕⠁⠙⠉⠁⠌
burst	爆裂	⠃⠥⠗⠌
call	打電話	⠉⠁⠇⠇
calm	使平靜	⠉⠁⠇⠍
cancel	取消	⠉⠁⠝⠉⠑⠇
care	在意；照顧	⠉⠜⠑
certain	確定	⠉⠻⠞⠁⠔ 
compare	比較	⠉⠕⠍⠏⠜⠑
complain	抱怨	⠉⠕⠍⠏⠇⠁⠔
concern	關心	⠒⠉⠻⠝
continue	繼續	⠒⠞⠔⠥⠑
create	創造	⠉⠗⠂⠞⠑
date	約會；註明日期	⠙⠁⠞⠑
deal	處理	⠙⠂⠇
decide	決定	⠙⠑⠉⠊⠙⠑
decrease	減少	⠙⠑⠉⠗⠂⠎⠑
depend	依賴	⠙⠑⠏⠢⠙
describe	描述	⠙⠑⠎⠉⠗⠊⠃⠑
detect	檢測	⠙⠑⠞⠑⠉⠞
die	死亡	⠙⠊⠑
direct	指導；導演	⠙⠊⠗⠑⠉⠞
disappear	消失	⠲⠁⠏⠏⠑⠜
discover	發現	⠲⠉⠕⠧⠻
discuss	討論	⠲⠉⠥⠎⠎
download	下載	⠙⠪⠝⠇⠕⠁⠙
emphasize	強調	⠑⠍⠏⠓⠁⠎⠊⠵⠑
enjoy	享受	⠢⠚⠕⠽
envy	嫉妒	⠢⠧⠽
excite	興奮	⠑⠭⠉⠊⠞⠑
expect	期待	⠑⠭⠏⠑⠉⠞
explain	解釋	⠑⠭⠏⠇⠁⠔
express	表達	⠑⠭⠏⠗⠑⠎⠎
fall	落下	⠋⠁⠇⠇
fill	填滿	⠋⠊⠇⠇
find	找到	⠋⠔⠙
send	發送	⠎⠢⠙
serve	服務；上菜	⠎⠻⠧⠑
share	分享	⠩⠜⠑
show	展示	⠩⠪
sit	坐	⠎⠊⠞
sleep	睡覺	⠎⠇⠑⠑⠏
start	開始	⠌⠜⠞
stay	停留	⠌⠁⠽
stop	停止	⠌⠕⠏
suggest	建議	⠎⠥⠶⠑⠌
support	支持	⠎⠥⠏⠏⠕⠗⠞
thank	感謝	⠹⠁⠝⠅
treat	對待；治療	⠞⠗⠂⠞
trust	信任	⠞⠗⠥⠌
try	嘗試	⠞⠗⠽
upload	上傳	⠥⠏⠇⠕⠁⠙
visit	拜訪	⠧⠊⠎⠊⠞
wait	等待	⠺⠁⠊⠞
wake	醒來	⠺⠁⠅⠑
waste	浪費	⠺⠁⠌⠑
welcome	歡迎	⠺⠑⠇⠉⠕⠍⠑
feel	感覺	⠋⠑⠑⠇
hear	聽見	⠓⠑⠜
listen	聆聽	⠇⠊⠌⠢
look	看	⠇⠕⠕⠅
see	看見	⠎⠑⠑
smell	聞	⠎⠍⠑⠇⠇
sound	聽起來	⠎⠨⠙
taste	品嚐	⠞⠁⠌⠑
watch	觀看	⠺⠁⠞⠡
check	檢查	⠡⠑⠉⠅
complete	完成	⠉⠕⠍⠏⠇⠑⠞⠑
end	結束	⠢⠙
finish	完成	⠋⠔⠊⠩
succeed	成功	⠎⠥⠒⠑⠫
survive	生存	⠎⠥⠗⠧⠊⠧⠑
affect	影響	⠁⠖⠑⠉⠞
believe	相信	⠆⠇⠊⠑⠧⠑
blame	責備	⠃⠇⠁⠍⠑
bother	打擾	⠃⠕⠮⠗
confuse	使困惑	⠒⠋⠥⠎⠑
consider	考慮	⠒⠎⠊⠙⠻
develop	發展	⠙⠑⠧⠑⠇⠕⠏
divide	分割	⠙⠊⠧⠊⠙⠑
doubt	懷疑	⠙⠳⠃⠞
ease	緩解	⠑⠁⠎⠑
embarrass	使尷尬	⠑⠍⠃⠜⠗⠁⠎⠎
forgive	原諒	⠿⠛⠊⠧⠑
forget	忘記	⠿⠛⠑⠞
frighten	嚇唬	⠋⠐⠗⠢
gather	聚集	⠛⠁⠮⠗
guess	猜測	⠛⠥⠑⠎⠎
hate	討厭	⠓⠁⠞⠑
hope	希望	⠓⠕⠏⠑
imagine	想像	⠊⠍⠁⠛⠔⠑
inspire	激勵	⠔⠎⠏⠊⠗⠑
know	知道	⠐⠅
like	喜歡	⠇
love	愛	⠇⠕⠧⠑
mind	介意	⠍⠔⠙
need	需要	⠝⠑⠫
notice	注意到	⠝⠕⠞⠊⠉⠑
realize	意識到	⠗⠂⠇⠊⠵⠑
regret	後悔	⠗⠑⠛⠗⠑⠞
remember	記得	⠗⠑⠍⠑⠍⠃⠻
remind	提醒	⠗⠑⠍⠔⠙
surprise	使驚訝	⠎⠥⠗⠏⠗⠊⠎⠑
think	思考	⠹⠔⠅
want	想要	⠺⠁⠝⠞
wish	希望	⠺⠊⠩
worry	擔心	⠺⠕⠗⠗⠽
bless	祝福	⠃⠨⠎
act	行動；表演	⠁⠉⠞
bathe	洗澡	⠃⠁⠮
beat	打敗；敲打	⠃⠂⠞
blow	吹	⠃⠇⠪
bow	鞠躬	⠃⠪
break	打破	⠃⠗⠂⠅
bring	帶來	⠃⠗⠬
brush	刷	⠃⠗⠥⠩
carry	攜帶	⠉⠜⠗⠽
catch	抓住	⠉⠁⠞⠡
chase	追逐	⠡⠁⠎⠑
cheat	作弊	⠡⠂⠞
choose	選擇	⠡⠕⠕⠎⠑
clap	鼓掌	⠉⠇⠁⠏
close	關閉	⠉⠇⠕⠎⠑
come	來	⠉⠕⠍⠑
control	控制	⠒⠞⠗⠕⠇
collect	收集	⠉⠕⠇⠇⠑⠉⠞
comment	評論	⠉⠕⠍⠰⠞
correct	糾正	⠉⠕⠗⠗⠑⠉⠞
copy	複製	⠉⠕⠏⠽
count	數	⠉⠨⠞
cover	覆蓋	⠉⠕⠧⠻
cry	哭	⠉⠗⠽
cut	切	⠉⠥⠞
dial	撥號	⠙⠊⠁⠇
dig	挖	⠙⠊⠛
define	定義	⠙⠑⠋⠔⠑
deliver	運送	⠙⠑⠇⠊⠧⠻
drop	掉落	⠙⠗⠕⠏
elect	選舉	⠑⠇⠑⠉⠞
enter	進入	⠢⠞⠻
exist	存在	⠑⠭⠊⠌
feed	餵食	⠋⠑⠫
fight	打架	⠋⠊⠣⠞
follow	跟隨	⠋⠕⠇⠇⠪
fry	炸	⠋⠗⠽
go	去	⠛
greet	問候	⠛⠗⠑⠑⠞
grow	生長	⠛⠗⠪
guide	引導	⠛⠥⠊⠙⠑
hand	遞給	⠓⠯
hang	掛	⠓⠁⠝⠛
help	幫助	⠓⠑⠇⠏
hit	打	⠓⠊⠞
hold	拿著	⠓⠕⠇⠙
hop	跳	⠓⠕⠏
hunt	獵捕	⠓⠥⠝⠞
hurry	匆忙	⠓⠥⠗⠗⠽
jump	跳躍	⠚⠥⠍⠏
kick	踢	⠅⠊⠉⠅
knock	敲	⠅⠝⠕⠉⠅
kill	殺死	⠅⠊⠇⠇
kiss	親吻	⠅⠊⠎⠎
laugh	笑	⠇⠁⠥⠣
lay	放置	⠇⠁⠽
leave	離開	⠇⠂⠧⠑
lick	舔	⠇⠊⠉⠅
lift	舉起	⠇⠊⠋⠞
list	列出	⠇⠊⠌
lock	鎖	⠇⠕⠉⠅
make	製作	⠍⠁⠅⠑
meet	見面	⠍⠑⠑⠞
miss	想念；錯過	⠍⠊⠎⠎
mix	混合	⠍⠊⠭
move	移動	⠍⠕⠧⠑
nod	點頭	⠝⠕⠙
offer	提供	⠷⠋⠻
open	打開	⠕⠏⠢
pack	打包	⠏⠁⠉⠅
park	停車	⠏⠜⠅
paste	粘貼	⠏⠁⠌⠑
pause	暫停	⠏⠁⠥⠎⠑
pick	挑選	⠏⠊⠉⠅
plant	種植	⠏⠇⠁⠝⠞
print	打印	⠏⠗⠔⠞
pull	拉	⠏⠥⠇⠇
pump	抽	⠏⠥⠍⠏
produce	生產	⠏⠗⠕⠙⠥⠉⠑
protect	保護	⠏⠗⠕⠞⠑⠉⠞
push	推	⠏⠥⠩
put	放置	⠏⠥⠞
recycle	回收	⠗⠑⠉⠽⠉⠇⠑
revise	修改	⠗⠑⠧⠊⠎⠑
rise	上升	⠗⠊⠎⠑
roll	滾動	⠗⠕⠇⠇
rub	摩擦	⠗⠥⠃
run	跑	⠗⠥⠝
rush	匆忙	⠗⠥⠩
rob	搶劫	⠗⠕⠃
rest	休息	⠗⠑⠌
shake	搖晃	⠩⠁⠅⠑
shoot	射擊；拍攝	⠩⠕⠕⠞
shout	喊叫	⠩⠳⠞
shut	關閉	⠩⠥⠞
smoke	吸煙	⠎⠍⠕⠅⠑
sign	簽名	⠎⠊⠛⠝
stand	站立	⠌⠯
steal	偷竊	⠌⠂⠇
strike	打擊；罷工	⠌⠗⠊⠅⠑
take	拿取	⠞⠁⠅⠑
tell	告訴	⠞⠑⠇⠇
throw	扔	⠹⠗⠪
touch	觸摸	⠞⠳⠡
trace	追蹤；描繪	⠞⠗⠁⠉⠑
trap	陷阱；困住	⠞⠗⠁⠏
type	打字	⠞⠽⠏⠑
use	使用	⠥⠎⠑
vote	投票	⠧⠕⠞⠑
walk	走路	⠺⠁⠇⠅
wave	揮手	⠺⠁⠧⠑
hug	擁抱	⠓⠥⠛
yell	大喊	⠽⠑⠇⠇
mop	拖地	⠍⠕⠏
able	能夠的	⠁⠃⠇⠑
absent	缺席的	⠁⠃⠎⠢⠞
afraid	害怕的	⠁⠋⠗⠁⠊⠙
alike	相似的	⠁⠇⠊⠅⠑
alive	活着的	⠁⠇⠊⠧⠑
alone	單獨的	⠁⠇⠐⠕
American	美國的	⠠⠁⠍⠻⠊⠉⠁⠝
ancient	古老的	⠁⠝⠉⠊⠢⠞
asleep	睡着的	⠁⠎⠇⠑⠑⠏
available	可用的	⠁⠧⠁⠊⠇⠁⠃⠇⠑
basic	基本的	⠃⠁⠎⠊⠉
bright	明亮的	⠃⠐⠗
broad	寬廣的	⠃⠗⠕⠁⠙
classical	古典的	⠉⠇⠁⠎⠎⠊⠉⠁⠇
colorful	豐富多彩的	⠉⠕⠇⠕⠗⠰⠇
common	常見的	⠉⠕⠍⠍⠕⠝
complete	完整的	⠉⠕⠍⠏⠇⠑⠞⠑
convenient	方便的	⠒⠧⠢⠊⠢⠞
correct	正確的	⠉⠕⠗⠗⠑⠉⠞
crowded	擁擠的	⠉⠗⠪⠙⠫
dangerous	危險的	⠙⠁⠝⠛⠻⠳⠎
dark	黑暗的	⠙⠜⠅
dead	死的	⠙⠂⠙
dear	親愛的	⠙⠑⠜
different	不同的	⠙⠊⠖⠻⠢⠞
difficult	困難的	⠙⠊⠖⠊⠉⠥⠇⠞
dirty	髒的	⠙⠊⠗⠞⠽
double	雙倍的	⠙⠳⠃⠇⠑
easy	容易的	⠑⠁⠎⠽
electric	電的	⠑⠇⠑⠉⠞⠗⠊⠉
else	其他的	⠑⠇⠎⠑
enough	足夠的	⠢
equal	平等的	⠑⠟⠥⠁⠇
excellent	優秀的	⠑⠭⠉⠑⠇⠇⠢⠞
FALSE	錯誤的	⠠⠠⠋⠁⠇⠎⠑
fancy	花哨的	⠋⠁⠝⠉⠽
fantastic	極好的	⠋⠁⠝⠞⠁⠌⠊⠉
fair	公平的	⠋⠁⠊⠗
fashionable	時髦的	⠋⠁⠩⠊⠕⠝⠁⠃⠇⠑
favorite	最喜歡的	⠋⠁⠧⠕⠗⠊⠞⠑
fine	好的	⠋⠔⠑
foreign	外國的	⠿⠑⠊⠛⠝
formal	正式的	⠿⠍⠁⠇
former	以前的	⠿⠍⠻
free	免費的；自由的	⠋⠗⠑⠑
fresh	新鮮的	⠋⠗⠑⠩
